ensembl_peptide_id	entrezgene_id
ENSP00000343966	55269
ENSP00000323580	8100
ENSP00000319417	221150
ENSP00000310726	78988
ENSP00000218548	479
ENSP00000285667	6782
ENSP00000281589	5042
ENSP00000335055	10810
ENSP00000282344	219333
ENSP00000346027	6144
ENSP00000302478	51082
ENSP00000241453	2322
ENSP00000284878	1525
ENSP00000282397	2321
ENSP00000345347	3146
ENSP00000305682	54148
ENSP00000318687	10808
ENSP00000346886	2551
ENSP00000343002	145173
ENSP00000298386	122042
ENSP00000284981	351
ENSP00000284984	9510
ENSP00000284987	11096
ENSP00000303584	29104
ENSP00000313851	23047
ENSP00000334808	10600
ENSP00000338785	90627
ENSP00000286788	10694
ENSP00000286808	26285
ENSP00000286827	7074
ENSP00000270142	6647
ENSP00000255465	8900
ENSP00000255476	5994
ENSP00000239891	29880
ENSP00000290130	54069
ENSP00000343957	3455
ENSP00000290200	3588
ENSP00000270139	3454
ENSP00000290219	3460
ENSP00000315397	10240
ENSP00000340823	2963
ENSP00000258654	83548
ENSP00000290299	539
ENSP00000282007	23091
ENSP00000181383	1361
ENSP00000290310	9992
ENSP00000337255	3753
ENSP00000300305	861
ENSP00000290349	873
ENSP00000258648	29079
ENSP00000315700	8208
ENSP00000267163	5925
ENSP00000282018	57105
ENSP00000218721	2862
ENSP00000311399	10311
ENSP00000261667	3839
ENSP00000337623	79621
ENSP00000329915	8624
ENSP00000330753	54014
ENSP00000310260	26512
ENSP00000298125	115825
ENSP00000242839	540
ENSP00000333657	4600
ENSP00000291527	7031
ENSP00000346196	4731
ENSP00000291547	5316
ENSP00000291552	7307
ENSP00000291554	1409
ENSP00000270162	150094
ENSP00000339145	23076
ENSP00000291565	8566
ENSP00000291568	1476
ENSP00000291574	7109
ENSP00000291576	5822
ENSP00000270172	29947
ENSP00000269848	5211
ENSP00000338348	7327
ENSP00000261574	3843
ENSP00000339613	23275
ENSP00000343428	2841
ENSP00000300527	1292
ENSP00000291670	10841
ENSP00000251127	259232
ENSP00000291700	6285
ENSP00000245312	6555
ENSP00000311984	55739
ENSP00000257347	79587
ENSP00000261965	10426
ENSP00000344458	8858
ENSP00000320936	23765
ENSP00000333298	3916
ENSP00000341219	27443
ENSP00000329033	83733
ENSP00000334216	496
ENSP00000253413	529
ENSP00000334876	6011
ENSP00000331831	2621
ENSP00000261601	9097
ENSP00000318822	637
ENSP00000261600	9984
ENSP00000315644	7298
ENSP00000331106	55670
ENSP00000215794	11274
ENSP00000261597	10403
ENSP00000326603	23347
ENSP00000261596	9663
ENSP00000217652	10627
ENSP00000327959	7050
ENSP00000263208	7290
ENSP00000316377	9229
ENSP00000263209	54487
ENSP00000333401	64976
ENSP00000263202	7353
ENSP00000343158	23136
ENSP00000331748	201475
ENSP00000327268	4729
ENSP00000019317	10928
ENSP00000345656	9218
ENSP00000043402	65078
ENSP00000324628	8774
ENSP00000331682	84861
ENSP00000263205	51586
ENSP00000334051	2774
ENSP00000255882	5297
ENSP00000335382	245939
ENSP00000246105	140881
ENSP00000217233	57761
ENSP00000215727	3053
ENSP00000215730	9342
ENSP00000346300	1399
ENSP00000346139	128637
ENSP00000269159	3613
ENSP00000217244	1457
ENSP00000318697	84617
ENSP00000269143	10939
ENSP00000325919	56984
ENSP00000262127	79959
ENSP00000248958	23753
ENSP00000334553	23759
ENSP00000311857	5771
ENSP00000217260	343637
ENSP00000338039	9491
ENSP00000215832	5594
ENSP00000305529	55423
ENSP00000318077	4161
ENSP00000333821	4158
ENSP00000303507	613
ENSP00000329312	3543
ENSP00000269214	114799
ENSP00000300413	6632
ENSP00000261537	57534
ENSP00000248948	29802
ENSP00000269216	2627
ENSP00000263121	6598
ENSP00000245983	2797
ENSP00000217386	5020
ENSP00000217173	22888
ENSP00000346483	65992
ENSP00000256925	91768
ENSP00000341874	8780
ENSP00000262919	8455
ENSP00000313423	64096
ENSP00000215754	4282
ENSP00000269228	4864
ENSP00000254963	116835
ENSP00000324532	3909
ENSP00000245960	994
ENSP00000313377	80025
ENSP00000324343	51733
ENSP00000215829	6634
ENSP00000306900	23627
ENSP00000217270	128674
ENSP00000320291	114876
ENSP00000203001	51605
ENSP00000317578	157
ENSP00000217289	55612
ENSP00000338185	23236
ENSP00000311121	143471
ENSP00000269142	6875
ENSP00000269141	1000
ENSP00000280904	1824
ENSP00000257198	1823
ENSP00000257192	1828
ENSP00000254976	6616
ENSP00000246062	8195
ENSP00000257189	1830
ENSP00000261590	1829
ENSP00000254958	182
ENSP00000237014	7276
ENSP00000306459	9331
ENSP00000283351	22878
ENSP00000217740	54941
ENSP00000202816	51575
ENSP00000246071	6629
ENSP00000262545	5126
