uniprotswissprot	entrezgene_id
A5X5Y0	285242
A8MPY1	200959
O00180	3775
O00206	7099
O00222	2918
O00244	475
O00264	10857
O00299	1192
O00305	785
O00329	5293
O00341	6512
O00398	27334
O00408	5138
O00459	5296
O00469	5352
O00519	2166
O00555	773
O00591	2568
O00764	8566
O14649	3777
O14717	1787
O14732	3613
O14746	7015
O14764	2563
O14788	8600
O14832	5264
O14841	26873
O14920	3551
O14939	5338
O14958	845
O14964	9146
O14983	487
O15067	5198
O15111	1147
O15264	5603
O15342	8992
O15379	8841
O15382	587
O15392	332
O15399	2906
O15528	1594
O15530	5170
O15547	9127
O15554	3783
O43174	1592
O43193	2862
O43252	9061
O43451	8972
O43497	8913
O43525	3786
O43526	3785
O43570	771
O43613	3061
O43614	3062
O43617	27095
O43708	2954
O43741	5565
O43766	11019
O43772	788
O60218	57016
O60359	10368
O60391	116444
O60488	2182
O60502	10724
O60568	8985
O60603	7097
O60656	54600
O60658	5151
O60674	3717
O60701	7358
O60706	10060
O60733	8398
O60760	27306
O60840	778
O60939	6327
O75185	9914
O75311	8001
O75340	10016
O75348	9550
O75390	1431
O75469	8856
O75493	770
O75762	8989
O75838	10518
O75880	6341
O75899	9568
O75908	8435
O75911	9249
O75936	8424
O76054	23541
O76074	8654
O76082	6584
O76083	5152
O94760	23576
O94788	8854
O94925	2744
O94956	11309
O95069	3776
O95180	8912
O95237	9227
O95259	3756
O95263	8622
O95264	9177
O95298	4718
O95342	8647
O95363	10667
O95477	19
O95644	4772
O95665	23620
O95670	534
O95718	2103
O95749	9453
O95954	10841
O95977	8698
P00167	1528
P00325	125
P00326	126
P00338	3939
P00352	216
P00367	2746
P00374	1719
P00387	1727
P00390	2936
P00395	4512
P00403	4513
P00414	4514
P00439	5053
P00441	6647
P00450	1356
P00491	4860
P00492	3251
P00505	2806
P00519	25
P00533	1956
P00558	5230
P00709	3906
P00734	2147
P00739	3250
P00740	2158
P00742	2159
P00747	5340
P00748	2161
P00749	5328
P00750	5327
P00797	5972
P00813	100
P00846	4508
P00915	759
P00918	760
P01008	462
P01009	5265
P01019	183
P01023	2
P01024	718
P01031	727
P01042	3827
P01100	2353
P01106	4609
P01133	1950
P01138	4803
P01189	5443
P01303	4852
P01350	2520
P01375	7124
P01579	3458
P01584	3553
P01619	NA
P01857	NA
P01861	NA
P01889	3106
P02144	4151
P02585	7125
P02647	335
P02649	348
P02652	336
P02655	344
P02656	345
P02671	2243
P02675	2244
P02679	2266
P02689	5375
P02708	1134
P02743	325
P02747	714
P02748	735
P02749	350
P02750	116844
P02753	5950
P02763	5004
P02765	197
P02766	7276
P02768	213
P02775	5473
P02786	7037
P02787	7018
P02788	4057
P02792	2512
P02794	2495
P02818	632
P03372	2099
P03886	4535
P04003	722
P04004	7448
P04035	3156
P04040	847
P04049	5894
P04054	5319
P04070	5624
P04083	301
P04150	2908
P04155	7031
P04156	5621
P04217	1
P04264	3848
P04271	6285
P04278	6462
P04406	2597
P04626	2064
P04629	4914
P04637	7157
P04731	4489
P04746	279
P04818	7298
P04839	1536
P05023	476
P05067	351
P05090	347
P05091	217
P05093	1586
P05106	3690
P05108	1583
P05109	6279
P05113	3567
P05121	5054
P05129	5582
P05141	292
P05155	710
P05156	3426
P05164	4353
P05177	1544
P05181	1571
P05186	249
P05230	2246
P05231	3569
P05362	3383
P05412	3725
P05452	7123
P05543	6906
P05546	3053
P05771	5579
P05787	3856
P06213	3643
P06239	3932
P06241	2534
P06276	590
P06396	2934
P06401	5241
P06703	6277
P06727	337
P06733	2023
P06744	2821
P06746	5423
P06756	3685
P06870	3816
P07098	8513
P07101	7054
P07195	3945
P07202	7173
P07203	2876
P07204	7056
P07225	5627
P07237	5034
P07288	354
P07327	124
P07333	1436
P07355	302
P07358	732
P07359	2811
P07360	733
P07437	203068
P07451	761
P07477	5644
P07550	154
P07686	3074
P07741	353
P07814	2058
P07900	3320
P07947	7525
P07948	4067
P07949	5979
P07998	6035
P08069	3480
P08100	6010
P08172	1129
P08173	1132
P08174	1604
P08183	5243
P08185	866
P08235	4306
P08238	3326
P08243	440
P08253	4313
P08473	4311
P08514	3674
P08519	4018
P08581	4233
P08588	153
P08603	3075
P08620	2249
P08631	3055
P08648	3678
P08684	1576
P08686	1589
P08697	5345
P08700	3562
P08729	3855
P08758	308
P08865	3921
P08908	3350
P08912	1133
P08913	150
P09038	2247
P09110	30
P09172	1621
P09210	2939
P09211	2950
P09429	3146
P09455	5947
P09466	5047
P09486	6678
P09488	2944
P09525	307
P09619	5159
P09669	1345
P09769	2268
P09871	716
P09874	142
P09884	5422
P09917	240
P09958	5045
P09960	4048
P0C0L5	721
P0DJD9	5222
P0DMS8	140
P0DP23	801
P0DP24	805
P0DP25	808
P10109	2230
P10176	1351
P10253	2548
P10275	367
P10276	5914
P10412	3008
P10415	596
P10606	1329
P10632	1558
P10635	1565
P10636	4137
P10696	251
P10721	3815
P10809	3329
P10826	5915
P10827	7067
P10828	7068
P10909	1191
P10997	3375
P11021	3309
P11137	4133
P11142	3312
P11166	6513
P11168	6514
P11229	1128
P11274	613
P11362	2260
P11387	7150
P11388	7153
P11473	7421
P11474	2101
P11511	1588
P11678	8288
P11712	1559
P11802	1019
P11926	4953
P12004	5111
P12104	2169
P12235	291
P12236	293
P12268	3615
P12429	306
P12724	6037
P12814	87
P12821	1636
P12931	6714
P13073	1327
P13498	1535
P13500	6347
P13569	1080
P13631	5916
P13637	478
P13645	3858
P13674	5033
P13693	7178
P13716	210
P13945	155
P14060	3283
P14061	3292
P14207	2350
P14324	2224
P14410	6476
P14416	1813
P14550	10327
P14555	5320
P14598	653361
P14618	5315
P14625	7184
P14679	7299
P14735	3416
P14770	2815
P14780	4318
P14854	1340
P14866	3191
P14867	2554
P14902	3620
P14920	1610
P15056	673
P15086	1360
P15104	2752
P15121	231
P15144	290
P15153	5880
P15313	525
P15328	2348
P15336	1386
P15382	3753
P15531	4830
P15538	1584
P15559	1728
P15692	7422
P15814	3543
P15880	6187
P15954	1350
P16050	246
P16066	4881
P16083	4835
P16152	873
P16220	1385
P16233	5406
P16234	5156
P16389	3737
P16444	1800
P16499	5145
P16581	6401
P16615	488
P16860	4879
P17050	4668
P17174	2805
P17252	5578
P17302	2697
P17405	6609
P17544	11016
P17658	3742
P17735	6898
P17752	7166
P17787	1141
P17812	1503
P17936	3486
P17948	2321
P18089	151
P18405	6715
P18505	2560
P18507	2566
P18545	5148
P18669	5223
P18825	152
P18846	466
P18847	467
P18848	468
P18850	22926
P18858	3978
P19021	5066
P19099	1585
P19320	7412
P19634	6548
P19652	5005
P19793	6256
P19801	26
P19823	3698
P19838	4790
P19878	4688
P19971	1890
P20020	490
P20309	1131
P20594	4882
P20618	5689
P20648	495
P20674	9377
P20701	3683
P20711	1644
P20813	1555
P20815	1577
P20839	3614
P21281	526
P21283	528
P21397	4128
P21453	1901
P21554	1268
P21589	4907
P21695	2819
P21728	1812
P21731	6915
P21796	7416
P21802	2263
P21817	6261
P21917	1815
P21918	1816
P21964	1312
P21980	7052
P22001	3738
P22033	4594
P22102	2618
P22303	43
P22455	2264
P22459	3739
P22460	3741
P22607	2261
P22626	3181
P22676	794
P22748	762
P22830	2235
P22888	3973
P23141	1066
P23219	5742
P23246	6421
P23258	7283
P23280	765
P23297	6271
P23381	7453
P23415	2741
P23416	2742
P23458	3716
P23469	5791
P23526	191
P23528	1072
P23560	627
P23634	493
P23743	1606
P23786	1376
P23921	6240
P23945	2492
P23975	6530
P24046	2569
P24298	2875
P24310	1346
P24311	1349
P24385	595
P24462	1551
P24530	1910
P24557	6916
P24752	38
P24941	1017
P25021	3274
P25024	3577
P25100	146
P25101	1909
P25103	6869
P25105	5724
P25116	2149
P25311	563
P25963	4792
P26358	1786
P26439	3284
P26447	6275
P27169	5444
P27338	4129
P27361	5595
P27449	527
P27487	1803
P27695	328
P27707	1633
P27797	811
P27815	5141
P27816	4134
P27824	821
P27986	5295
P28062	5696
P28065	5698
P28074	5693
P28221	3352
P28222	3351
P28223	3356
P28329	1103
P28335	3358
P28472	2562
P28476	2570
P28482	5594
P28566	3354
P28676	25801
P28702	6257
P29034	6273
P29074	5775
P29218	3612
P29274	135
P29275	136
P29317	1969
P29350	5777
P29372	4350
P29401	7086
P29466	834
P29474	4846
P29475	4842
P29590	5371
P29597	7297
P29622	5267
